3 0 2e-06
3 1 3e-06
3 2 3e-06
3 3 3e-06
3 4 6e-06
3 5 2e-06
3 6 4e-06
3 7 3e-06
3 8 3e-06
3 9 4e-06
4 0 7e-06
4 1 8e-06
4 2 5e-06
4 3 8e-06
4 4 5e-06
4 5 5e-06
4 6 5e-06
4 7 5e-06
4 8 5e-06
4 9 8e-06
5 0 2.1e-05
5 1 1.5e-05
5 2 2e-05
5 3 1.4e-05
5 4 2.3e-05
5 5 1.5e-05
5 6 1.4e-05
5 7 2.4e-05
5 8 2.2e-05
5 9 1.4e-05
6 0 6.8e-05
6 1 8.7e-05
6 2 9.9e-05
6 3 7.2e-05
6 4 9.4e-05
6 5 9.2e-05
6 6 6.7e-05
6 7 0.000118
6 8 9.7e-05
6 9 0.000108
7 0 0.000737
7 1 0.000607
7 2 0.000584
7 3 0.00049
7 4 0.000482
7 5 0.000473
7 6 0.000446
7 7 0.000682
7 8 0.000468
7 9 0.000523
8 0 0.003674
8 1 0.003897
8 2 0.003591
8 3 0.003651
8 4 0.003725
8 5 0.009617
8 6 0.004065
8 7 0.004
8 8 0.003943
8 9 0.00596
9 0 0.035723
9 1 0.035283
9 2 0.035988
9 3 0.038379
9 4 0.034832
9 5 0.034736
9 6 0.033187
9 7 0.033297
9 8 0.035134
9 9 0.037705
10 0 0.340869
10 1 0.338109
10 2 0.327769
10 3 0.329224
10 4 0.33652
10 5 0.382543
10 6 0.319983
10 7 0.391381
10 8 0.316649
10 9 0.316137
11 0 3.580152
11 1 3.682347
11 2 3.464989
11 3 3.450179
11 4 3.432325
11 5 3.45996
11 6 3.427889
11 7 3.486842
11 8 3.497041
11 9 3.517663
12 0 41.350114
12 1 41.25803
12 2 41.513372
12 3 41.541211
12 4 42.764873
12 5 48.023471
12 6 46.951926
12 7 43.623623
12 8 42.904525
12 9 42.865458
